region,year,min_wage,unemployment_rate
U,2019,12.75,2.02
U,2020,13.24,5.09
U,2021,13.16,3.91
U,2022,13.16,1.63
U,2023,13.34,2.46
U,2024,13.48,2.36
U,2025,13.49,2.38
U,2026,13.83,1.5
V,2000,9.42,2.52
V,2001,9.69,2.57
V,2002,9.71,1.5
V,2003,10.01,1.69
V,2004,10.08,1.86
V,2005,10.0,1.54
V,2006,10.09,1.88
V,2007,10.31,2.37
V,2008,10.58,3.74
V,2009,10.53,4.55
V,2010,10.75,2.42
V,2011,10.67,2.0
V,2012,10.85,1.64
V,2013,10.68,2.39
V,2014,11.12,2.14
V,2015,11.38,1.73
V,2016,11.61,1.96
V,2017,11.63,2.13
V,2018,11.6,1.5
V,2019,11.6,1.64
V,2020,11.75,4.83
V,2021,12.01,3.53
V,2022,12.11,1.63
V,2023,12.23,2.1
V,2024,12.16,1.5
V,2025,12.62,2.28
V,2026,12.84,1.5
W,2000,10.07,2.33
W,2001,10.29,2.95
W,2002,10.87,2.62
W,2003,10.73,2.33
W,2004,10.86,2.14
W,2005,10.89,1.84
W,2006,11.06,2.3
W,2007,11.42,2.59
W,2008,11.19,3.5
W,2009,11.44,5.5
W,2010,11.56,2.5
W,2011,11.49,2.17
W,2012,11.91,2.35
W,2013,11.91,2.59
W,2014,11.94,2.75
W,2015,12.12,2.12
W,2016,12.27,1.93
W,2017,12.5,2.27
W,2018,12.47,2.11
W,2019,12.99,2.48
W,2020,12.69,5.34
W,2021,12.78,4.21
W,2022,12.83,2.42
W,2023,13.12,1.65
W,2024,13.07,2.45
W,2025,13.19,2.55
W,2026,13.69,2.12
X,2000,9.35,2.59
X,2001,9.73,3.85
X,2002,9.48,2.55
X,2003,9.8,3.03
X,2004,9.86,2.2
X,2005,10.24,2.89
X,2006,10.15,3.14
X,2007,10.0,2.98
X,2008,10.43,3.68
X,2009,10.47,4.85
X,2010,10.83,2.87
X,2011,10.75,2.53
X,2012,10.72,3.22
X,2013,11.09,2.63
X,2014,11.1,2.74
X,2015,11.17,2.89
X,2016,11.54,2.5
X,2017,11.53,2.71
X,2018,11.39,2.31
X,2019,11.92,2.6
X,2020,11.87,5.61
X,2021,11.67,4.48
X,2022,11.98,2.4
X,2023,12.14,2.37
X,2024,12.32,3.01
X,2025,12.45,2.07
X,2026,12.6,2.5
Y,2000,10.77,1.94
Y,2001,10.96,3.15
Y,2002,10.76,1.5
Y,2003,10.76,2.3
Y,2004,11.06,2.15
Y,2005,11.21,2.2
Y,2006,11.22,1.86
Y,2007,11.93,2.36
Y,2008,11.69,3.56
Y,2009,11.79,4.39
Y,2010,11.94,1.97
Y,2011,12.14,1.55
Y,2012,12.07,1.66
Y,2013,12.15,2.03
Y,2014,12.37,1.57
Y,2015,12.21,1.73
Y,2016,12.29,1.63
Y,2017,12.78,2.47
Y,2018,12.87,1.5
Y,2019,13.03,2.15
Y,2020,12.76,5.5
Y,2021,12.96,3.61
Y,2022,13.33,2.3
Y,2023,13.42,2.48
Y,2024,13.52,2.11
Y,2025,13.82,1.94
Y,2026,13.66,2.25
Z,2000,9.61,3.29
Z,2001,9.74,4.28
Z,2002,10.0,3.73
Z,2003,10.0,3.11
Z,2004,9.94,3.29
Z,2005,10.42,3.65
Z,2006,10.53,3.86
Z,2007,10.35,3.14
Z,2008,10.39,4.23
Z,2009,10.59,5.88
Z,2010,10.72,3.49
Z,2011,11.1,3.62
Z,2012,10.73,3.19
Z,2013,11.63,3.29
Z,2014,11.24,3.46
Z,2015,11.55,3.29
Z,2016,11.54,3.15
Z,2017,11.75,3.35
Z,2018,11.84,2.92
Z,2019,12.23,3.4
Z,2020,12.01,6.43
Z,2021,12.31,5.12
Z,2022,12.23,3.76
Z,2023,12.45,3.3
Z,2024,12.64,3.04
Z,2025,12.67,3.91
Z,2026,12.72,3.14
